timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698954754163,257,https://portaltest.mtn.ci/assets/tabs/eye.svg,200,OK,Thread Group 1-5,text,true,,812,429,6,6,https://portaltest.mtn.ci/assets/tabs/eye.svg,257,0,0
1698954754163,300,https://portaltest.mtn.ci/assets/tabs/form-builder.svg,200,OK,Thread Group 1-2,text,true,,1548,438,6,6,https://portaltest.mtn.ci/assets/tabs/form-builder.svg,300,0,0
1698954754190,273,https://portaltest.mtn.ci/assets/tabs/eye.svg,200,OK,Thread Group 1-6,text,true,,812,429,6,6,https://portaltest.mtn.ci/assets/tabs/eye.svg,273,0,0
1698954754403,1232,https://portaltest.mtn.ci/assets/tabs/officeb.svg,200,OK,Thread Group 1-1,text,true,,1392,433,6,6,https://portaltest.mtn.ci/assets/tabs/officeb.svg,1232,0,0
1698954754408,1227,https://portaltest.mtn.ci/assets/tabs/capture.svg,200,OK,Thread Group 1-4,text,true,,1106,433,6,6,https://portaltest.mtn.ci/assets/tabs/capture.svg,1227,0,0
1698954754420,1215,https://portaltest.mtn.ci/svg/caret-down.svg,200,OK,Thread Group 1-5,text,true,,465,428,6,6,https://portaltest.mtn.ci/svg/caret-down.svg,1215,0,0
1698954754464,1171,https://portaltest.mtn.ci/assets/tabs/device.svg,200,OK,Thread Group 1-2,text,true,,727,432,6,6,https://portaltest.mtn.ci/assets/tabs/device.svg,1171,0,0
1698954754404,1231,https://portaltest.mtn.ci/assets/tabs/form-builder.svg,200,OK,Thread Group 1-3,text,true,,1548,438,6,6,https://portaltest.mtn.ci/assets/tabs/form-builder.svg,1231,0,0
1698954754464,1171,https://portaltest.mtn.ci/svg/caret-down.svg,200,OK,Thread Group 1-6,text,true,,465,428,6,6,https://portaltest.mtn.ci/svg/caret-down.svg,1171,0,0
1698954755636,366,https://portaltest.mtn.ci/assets/tabs/capture.svg,200,OK,Thread Group 1-5,text,true,,1106,433,6,6,https://portaltest.mtn.ci/assets/tabs/capture.svg,366,0,0
1698954755636,367,https://portaltest.mtn.ci/assets/tabs/capture.svg,200,OK,Thread Group 1-6,text,true,,1106,433,6,6,https://portaltest.mtn.ci/assets/tabs/capture.svg,367,0,0
1698954755636,366,https://portaltest.mtn.ci/assets/tabs/device.svg,200,OK,Thread Group 1-3,text,true,,727,432,6,6,https://portaltest.mtn.ci/assets/tabs/device.svg,366,0,0
1698954755636,366,https://portaltest.mtn.ci/assets/tabs/form-builder.svg,200,OK,Thread Group 1-4,text,true,,1548,438,6,6,https://portaltest.mtn.ci/assets/tabs/form-builder.svg,366,0,0
1698954755636,972,https://portaltest.mtn.ci/assets/tabs/role.svg,200,OK,Thread Group 1-1,text,true,,9187,430,6,6,https://portaltest.mtn.ci/assets/tabs/role.svg,972,0,0
1698954755636,972,https://portaltest.mtn.ci/assets/tabs/officeb.svg,200,OK,Thread Group 1-2,text,true,,1392,433,6,6,https://portaltest.mtn.ci/assets/tabs/officeb.svg,972,0,0
1698954756003,822,https://portaltest.mtn.ci/assets/tabs/form-builder.svg,200,OK,Thread Group 1-5,text,true,,1548,438,6,6,https://portaltest.mtn.ci/assets/tabs/form-builder.svg,822,0,0
1698954756003,848,https://portaltest.mtn.ci/assets/tabs/officeb.svg,200,OK,Thread Group 1-3,text,true,,1392,433,6,6,https://portaltest.mtn.ci/assets/tabs/officeb.svg,848,0,0
1698954756003,848,https://portaltest.mtn.ci/assets/tabs/device.svg,200,OK,Thread Group 1-4,text,true,,727,432,6,6,https://portaltest.mtn.ci/assets/tabs/device.svg,848,0,0
1698954756003,848,https://portaltest.mtn.ci/assets/tabs/form-builder.svg,200,OK,Thread Group 1-6,text,true,,1548,438,6,6,https://portaltest.mtn.ci/assets/tabs/form-builder.svg,848,0,0
1698954756608,280,https://portaltest.mtn.ci/assets/tabs/office.svg,200,OK,Thread Group 1-1,text,true,,1404,432,6,6,https://portaltest.mtn.ci/assets/tabs/office.svg,280,0,0
1698954756608,1270,https://portaltest.mtn.ci/assets/tabs/role.svg,200,OK,Thread Group 1-2,text,true,,9187,430,6,6,https://portaltest.mtn.ci/assets/tabs/role.svg,1270,0,0
1698954756826,1052,https://portaltest.mtn.ci/assets/tabs/device.svg,200,OK,Thread Group 1-5,text,true,,727,432,6,6,https://portaltest.mtn.ci/assets/tabs/device.svg,1052,0,0
1698954756852,1026,https://portaltest.mtn.ci/assets/tabs/device.svg,200,OK,Thread Group 1-6,text,true,,727,432,6,6,https://portaltest.mtn.ci/assets/tabs/device.svg,1026,0,0
1698954756889,1392,https://portaltest.mtn.ci/assets/tabs/settings.svg,200,OK,Thread Group 1-1,text,true,,1575,434,6,6,https://portaltest.mtn.ci/assets/tabs/settings.svg,1392,0,0
1698954757879,402,https://portaltest.mtn.ci/assets/tabs/office.svg,200,OK,Thread Group 1-2,text,true,,1404,432,6,6,https://portaltest.mtn.ci/assets/tabs/office.svg,402,0,0
1698954757879,402,https://portaltest.mtn.ci/assets/tabs/officeb.svg,200,OK,Thread Group 1-5,text,true,,1392,433,6,6,https://portaltest.mtn.ci/assets/tabs/officeb.svg,402,0,0
1698954756852,1429,https://portaltest.mtn.ci/assets/tabs/role.svg,200,OK,Thread Group 1-3,text,true,,9187,430,6,6,https://portaltest.mtn.ci/assets/tabs/role.svg,1429,0,0
1698954756852,1429,https://portaltest.mtn.ci/assets/tabs/officeb.svg,200,OK,Thread Group 1-4,text,true,,1392,433,6,6,https://portaltest.mtn.ci/assets/tabs/officeb.svg,1429,0,0
1698954757879,402,https://portaltest.mtn.ci/assets/tabs/officeb.svg,200,OK,Thread Group 1-6,text,true,,1392,433,6,6,https://portaltest.mtn.ci/assets/tabs/officeb.svg,402,0,0
1698954758282,318,https://portaltest.mtn.ci/assets/tabs/office.svg,200,OK,Thread Group 1-3,text,true,,1404,432,6,6,https://portaltest.mtn.ci/assets/tabs/office.svg,318,0,0
1698954758282,318,https://portaltest.mtn.ci/assets/tabs/server-outline.svg,200,OK,Thread Group 1-1,text,true,,851,440,6,6,https://portaltest.mtn.ci/assets/tabs/server-outline.svg,318,0,0
1698954758282,958,https://portaltest.mtn.ci/assets/tabs/settings.svg,200,OK,Thread Group 1-2,text,true,,1575,434,6,6,https://portaltest.mtn.ci/assets/tabs/settings.svg,958,0,0
1698954758282,958,https://portaltest.mtn.ci/assets/tabs/role.svg,200,OK,Thread Group 1-4,text,true,,9187,430,6,6,https://portaltest.mtn.ci/assets/tabs/role.svg,958,0,0
1698954758282,958,https://portaltest.mtn.ci/assets/tabs/role.svg,200,OK,Thread Group 1-5,text,true,,9187,430,6,6,https://portaltest.mtn.ci/assets/tabs/role.svg,958,0,0
1698954758282,1095,https://portaltest.mtn.ci/assets/tabs/role.svg,200,OK,Thread Group 1-6,text,true,,9187,430,6,6,https://portaltest.mtn.ci/assets/tabs/role.svg,1095,0,0
1698954758602,808,https://portaltest.mtn.ci/assets/tabs/settings.svg,200,OK,Thread Group 1-3,text,true,,1575,434,6,6,https://portaltest.mtn.ci/assets/tabs/settings.svg,808,0,0
1698954759241,721,https://portaltest.mtn.ci/assets/tabs/office.svg,200,OK,Thread Group 1-4,text,true,,1404,432,6,6,https://portaltest.mtn.ci/assets/tabs/office.svg,721,0,0
1698954759379,583,https://portaltest.mtn.ci/assets/tabs/office.svg,200,OK,Thread Group 1-6,text,true,,1404,432,6,6,https://portaltest.mtn.ci/assets/tabs/office.svg,583,0,0
1698954759241,721,https://portaltest.mtn.ci/assets/tabs/server-outline.svg,200,OK,Thread Group 1-2,text,true,,851,440,6,6,https://portaltest.mtn.ci/assets/tabs/server-outline.svg,721,0,0
1698954759411,551,https://portaltest.mtn.ci/assets/tabs/server-outline.svg,200,OK,Thread Group 1-3,text,true,,851,440,6,6,https://portaltest.mtn.ci/assets/tabs/server-outline.svg,551,0,0
1698954759242,720,https://portaltest.mtn.ci/assets/tabs/office.svg,200,OK,Thread Group 1-5,text,true,,1404,432,6,6,https://portaltest.mtn.ci/assets/tabs/office.svg,720,0,0
1698954759962,840,https://portaltest.mtn.ci/assets/tabs/settings.svg,200,OK,Thread Group 1-6,text,true,,1575,434,6,6,https://portaltest.mtn.ci/assets/tabs/settings.svg,840,0,0
1698954759962,840,https://portaltest.mtn.ci/assets/tabs/settings.svg,200,OK,Thread Group 1-4,text,true,,1575,434,6,6,https://portaltest.mtn.ci/assets/tabs/settings.svg,840,0,0
1698954759963,1507,https://portaltest.mtn.ci/api/internationalization/set-user-lang,401,Unauthorized,Thread Group 1-2,text,false,,336,4248,6,6,https://portaltest.mtn.ci/api/internationalization/set-user-lang,1507,0,0
1698954758602,2868,https://portaltest.mtn.ci/api/internationalization/set-user-lang,401,Unauthorized,Thread Group 1-1,text,false,,336,4248,6,6,https://portaltest.mtn.ci/api/internationalization/set-user-lang,2868,0,0
1698954759963,1507,https://portaltest.mtn.ci/assets/tabs/settings.svg,200,OK,Thread Group 1-5,text,true,,1575,434,6,6,https://portaltest.mtn.ci/assets/tabs/settings.svg,1507,0,0
1698954760803,667,https://portaltest.mtn.ci/assets/tabs/server-outline.svg,200,OK,Thread Group 1-6,text,true,,851,440,6,6,https://portaltest.mtn.ci/assets/tabs/server-outline.svg,667,0,0
1698954760803,667,https://portaltest.mtn.ci/assets/tabs/server-outline.svg,200,OK,Thread Group 1-4,text,true,,851,440,6,6,https://portaltest.mtn.ci/assets/tabs/server-outline.svg,667,0,0
1698954759963,1507,https://portaltest.mtn.ci/api/internationalization/set-user-lang,401,Unauthorized,Thread Group 1-3,text,false,,336,4248,6,6,https://portaltest.mtn.ci/api/internationalization/set-user-lang,1507,0,0
1698954761471,1271,https://portaltest.mtn.ci/assets/tabs/server-outline.svg,200,OK,Thread Group 1-5,text,true,,851,440,6,6,https://portaltest.mtn.ci/assets/tabs/server-outline.svg,1271,0,0
1698954761471,1737,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_SUMMARY,401,Unauthorized,Thread Group 1-2,text,false,,336,4256,6,6,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_SUMMARY,1737,0,0
1698954761472,1736,https://portaltest.mtn.ci/api/internationalization/set-user-lang,401,Unauthorized,Thread Group 1-6,text,false,,336,4248,6,6,https://portaltest.mtn.ci/api/internationalization/set-user-lang,1736,0,0
1698954761472,1736,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_SUMMARY,401,Unauthorized,Thread Group 1-3,text,false,,336,4256,6,6,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_SUMMARY,1736,0,0
1698954761472,1737,https://portaltest.mtn.ci/api/internationalization/set-user-lang,401,Unauthorized,Thread Group 1-4,text,false,,336,4248,6,6,https://portaltest.mtn.ci/api/internationalization/set-user-lang,1737,0,0
1698954761472,1737,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_SUMMARY,401,Unauthorized,Thread Group 1-1,text,false,,336,4256,6,6,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_SUMMARY,1737,0,0
1698954762743,1677,https://portaltest.mtn.ci/api/internationalization/set-user-lang,401,Unauthorized,Thread Group 1-5,text,false,,336,4248,6,6,https://portaltest.mtn.ci/api/internationalization/set-user-lang,1677,0,0
1698954763209,1211,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_SUMMARY,401,Unauthorized,Thread Group 1-4,text,false,,336,4256,6,6,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_SUMMARY,1211,0,0
1698954763209,1211,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_USE_CASES,401,Unauthorized,Thread Group 1-3,text,false,,336,4258,6,6,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_USE_CASES,1211,0,0
1698954763209,1211,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_USE_CASES,401,Unauthorized,Thread Group 1-2,text,false,,336,4258,6,6,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_USE_CASES,1211,0,0
1698954763209,1211,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_SUMMARY,401,Unauthorized,Thread Group 1-6,text,false,,336,4256,6,6,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_SUMMARY,1211,0,0
1698954763209,1539,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_USE_CASES,401,Unauthorized,Thread Group 1-1,text,false,,336,4258,6,6,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_USE_CASES,1539,0,0
1698954764419,328,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_SUMMARY,401,Unauthorized,Thread Group 1-5,text,false,,336,4256,6,6,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_SUMMARY,328,0,0
1698954764419,328,https://portaltest.mtn.ci/registration/analytics?panelName=OPERATORS_AND_DEVICE_SUMMARY,401,Unauthorized,Thread Group 1-3,text,false,,336,4264,6,6,https://portaltest.mtn.ci/registration/analytics?panelName=OPERATORS_AND_DEVICE_SUMMARY,328,0,0
1698954764419,378,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_USE_CASES,401,Unauthorized,Thread Group 1-6,text,false,,336,4258,6,6,https://portaltest.mtn.ci/registration/analytics?panelName=REGISTRATION_USE_CASES,378,0,0
1698954764420,377,https://portaltest.mtn.ci/registration/analytics?panelName=OPERATORS_AND_DEVICE_SUMMARY,401,Unauthorized,Thread Group 1-2,text,false,,336,4264,6,6,https://portaltest.mtn.ci/registration/analytics?panelName=OPERATORS_AND_DEVICE_SUMMARY,377,0,0
